Date,Gold,Nifty
2016-01-04,1075.0999755859375,7791.2998046875
2016-01-05,1078.4000244140625,7784.64990234375
2016-01-06,1091.9000244140625,7741.0
2016-01-07,1107.699951171875,7568.2998046875
2016-01-08,1097.800048828125,7601.35009765625
2016-01-11,1096.5,7563.85009765625
2016-01-12,1085.5999755859375,7510.2998046875
2016-01-13,1087.5,7562.39990234375
2016-01-14,1073.9000244140625,7536.7998046875
2016-01-15,1091.5,7437.7998046875
2016-01-18,1091.5,7351.0
2016-01-19,1089.9000244140625,7435.10009765625
2016-01-20,1107.0999755859375,7309.2998046875
2016-01-21,1099.0999755859375,7276.7998046875
2016-01-22,1097.199951171875,7422.4501953125
2016-01-25,1106.199951171875,7436.14990234375
2016-01-26,1121.699951171875,7436.14990234375
2016-01-27,1116.0999755859375,7437.75
2016-01-28,1115.5999755859375,7424.64990234375
2016-01-29,1116.4000244140625,7563.5498046875
2016-02-01,1127.9000244140625,7555.9501953125
2016-02-02,1127.300048828125,7455.5498046875
2016-02-03,1141.300048828125,7361.7998046875
2016-02-04,1157.5999755859375,7404.0
2016-02-05,1157.800048828125,7489.10009765625
2016-02-08,1197.9000244140625,7387.25
2016-02-09,1198.699951171875,7298.2001953125
2016-02-10,1194.699951171875,7215.7001953125
2016-02-11,1247.9000244140625,6976.35009765625
2016-02-12,1239.0999755859375,6980.9501953125
2016-02-15,1239.0999755859375,7162.9501953125
2016-02-16,1207.9000244140625,7048.25
2016-02-17,1211.0999755859375,7108.4501953125
2016-02-18,1226.0999755859375,7191.75
2016-02-19,1230.4000244140625,7210.75
2016-02-22,1209.5,7234.5498046875
2016-02-23,1222.300048828125,7109.5498046875
2016-02-24,1238.699951171875,7018.7001953125
2016-02-25,1238.199951171875,6970.60009765625
2016-02-26,1219.800048828125,7029.75
2016-02-29,1233.9000244140625,6987.0498046875
2016-03-01,1230.300048828125,7222.2998046875
2016-03-02,1241.0999755859375,7368.85009765625
2016-03-03,1257.4000244140625,7475.60009765625
2016-03-04,1269.9000244140625,7485.35009765625
2016-03-07,1263.199951171875,7485.35009765625
2016-03-08,1262.0999755859375,7485.2998046875
2016-03-09,1256.5999755859375,7531.7998046875
2016-03-10,1272.0,7486.14990234375
2016-03-11,1258.699951171875,7510.2001953125
2016-03-14,1244.4000244140625,7538.75
2016-03-15,1230.4000244140625,7460.60009765625
2016-03-16,1229.300048828125,7498.75
2016-03-17,1264.5,7512.5498046875
2016-03-18,1253.800048828125,7604.35009765625
2016-03-21,1243.800048828125,7704.25
2016-03-22,1248.199951171875,7714.89990234375
2016-03-23,1223.699951171875,7716.5
2016-03-24,1221.4000244140625,7716.5
2016-03-28,1219.9000244140625,7615.10009765625
2016-03-29,1235.5999755859375,7597.0
2016-03-30,1226.9000244140625,7735.2001953125
2016-03-31,1234.199951171875,7738.39990234375
2016-04-01,1222.199951171875,7713.0498046875
2016-04-04,1218.0,7758.7998046875
2016-04-05,1228.4000244140625,7603.2001953125
2016-04-06,1222.5,7614.35009765625
2016-04-07,1236.199951171875,7546.4501953125
2016-04-08,1242.5,7555.2001953125
2016-04-11,1256.699951171875,7671.39990234375
2016-04-12,1259.4000244140625,7708.9501953125
2016-04-13,1246.800048828125,7850.4501953125
2016-04-14,1225.0,7850.4501953125
2016-04-15,1233.0999755859375,7850.4501953125
2016-04-18,1233.5999755859375,7914.7001953125
2016-04-19,1253.0,7914.7001953125
2016-04-20,1253.199951171875,7914.75
2016-04-21,1249.0,7912.0498046875
2016-04-22,1228.699951171875,7899.2998046875
2016-04-25,1238.9000244140625,7855.0498046875
2016-04-26,1242.199951171875,7962.64990234375
2016-04-27,1249.199951171875,7979.89990234375
2016-04-28,1265.5,7847.25
2016-04-29,1289.199951171875,7849.7998046875
2016-05-02,1294.699951171875,7805.89990234375
2016-05-03,1290.699951171875,7747.0
2016-05-04,1273.300048828125,7706.5498046875
2016-05-05,1271.4000244140625,7735.5
2016-05-06,1292.9000244140625,7733.4501953125
2016-05-09,1265.5999755859375,7866.0498046875
2016-05-10,1263.9000244140625,7887.7998046875
2016-05-11,1274.5999755859375,7848.85009765625
2016-05-12,1270.300048828125,7900.39990234375
2016-05-13,1271.9000244140625,7814.89990234375
2016-05-16,1273.4000244140625,7860.75
2016-05-17,1276.199951171875,7890.75
2016-05-18,1273.699951171875,7870.14990234375
2016-05-19,1254.199951171875,7783.39990234375
2016-05-20,1252.4000244140625,7749.7001953125
2016-05-23,1251.0999755859375,7731.0498046875
2016-05-24,1228.9000244140625,7748.85009765625
2016-05-25,1223.5,7934.89990234375
2016-05-26,1220.0999755859375,8069.64990234375
2016-05-27,1213.800048828125,8156.64990234375
2016-05-30,1213.800048828125,8178.5
2016-05-31,1214.800048828125,8160.10009765625
2016-06-01,1211.9000244140625,8179.9501953125
