Symbol,financial_score,institutional_score,market_cap,profit_growth,sales_growth,roce,debt_to_equity,Type,Buy Date,Sell Date,Buy Price,Sell Price,PnL,PnL %,Actual_PnL
ANANDRATHI,61.2,10.0,25672.0,29.4,20.1,56.3,0.1,REALIZED,05-04-2022,08-01-2025,306.15,1917.2,157868.69181773643,526.228972725788,157868.69181773643
ANANDRATHI,61.2,10.0,25672.0,29.4,20.1,56.3,0.1,UNREALIZED,Held,Active,1968.4,3005.0,15798.618167039218,52.6620605567974,15798.618167039218
APARINDS,65.9,10.0,29767.0,10.5,21.2,32.7,0.14,REALIZED,14-06-2021,11-11-2024,547.05,8734.45,448993.69344666856,1496.6456448222284,448993.69344666856
APARINDS,65.9,10.0,29767.0,10.5,21.2,32.7,0.14,REALIZED,16-12-2024,28-01-2025,9893.2,7173.7,-8246.573403954233,-27.488578013180774,-8246.573403954233
ASTRAZEN,71.5,10.0,20660.0,79.6,35.1,33.4,0.04,REALIZED,14-06-2021,22-10-2021,3813.6,3039.9,-6086.375078665827,-20.287916928886087,-6086.375078665827
ASTRAZEN,71.5,10.0,20660.0,79.6,35.1,33.4,0.04,REALIZED,22-07-2022,20-06-2025,3077.85,8871.0,56466.20205663044,188.2206735221015,56466.20205663044
ASTRAZEN,71.5,10.0,20660.0,79.6,35.1,33.4,0.04,UNREALIZED,Held,Active,9414.5,8347.0,-3401.6676403420256,-11.338892134473419,-3401.6676403420256
BLS,72.7,10.0,12443.0,44.1,41.6,33.6,0.19,REALIZED,11-06-2021,09-10-2023,32.02,241.0,195796.37726420985,652.6545908806995,195796.37726420985
BLS,72.7,10.0,12443.0,44.1,41.6,33.6,0.19,REALIZED,17-11-2023,13-10-2025,268.25,299.8,3528.42497670084,11.7614165890028,3528.42497670084
BLUEJET,44.7,10.0,8391.0,102.0,63.3,39.8,0.02,REALIZED,29-01-2024,25-07-2025,380.95,789.25,32153.82596141226,107.17941987137421,32153.82596141226
CGPOWER,67.9,10.0,88461.0,19.1,25.6,37.5,0.02,REALIZED,15-09-2021,10-01-2025,89.0,650.2,189168.53932584272,630.5617977528091,189168.53932584272
CGPOWER,67.9,10.0,88461.0,19.1,25.6,37.5,0.02,REALIZED,03-09-2025,12-01-2026,733.3,585.8,-6034.365198418111,-20.1145506613937,-6034.365198418111
CUMMINSIND,85.0,10.0,112599.0,18.1,20.2,36.3,0.0,REALIZED,30-06-2021,04-06-2024,899.5,3245.9,78256.80933852142,260.8560311284047,78256.80933852142
CUMMINSIND,85.0,10.0,112599.0,18.1,20.2,36.3,0.0,REALIZED,12-06-2024,13-01-2025,3674.85,2873.35,-6543.124209151393,-21.810414030504642,-6543.124209151393
CUMMINSIND,85.0,10.0,112599.0,18.1,20.2,36.3,0.0,UNREALIZED,Held,Active,3616.4,4073.0,3787.7447185045894,12.62581572834863,3787.7447185045894
DIXON,68.5,10.0,65128.0,131.0,75.6,40.0,0.34,REALIZED,11-06-2021,12-05-2022,4189.5,3401.1,-5645.542427497316,-18.818474758324385,-5645.542427497316
DIXON,68.5,10.0,65128.0,131.0,75.6,40.0,0.34,REALIZED,07-06-2023,13-01-2025,3922.55,15835.15,91108.59007533363,303.6953002511121,91108.59007533363
DIXON,68.5,10.0,65128.0,131.0,75.6,40.0,0.34,REALIZED,20-01-2025,14-02-2025,17559.45,14010.7,-6062.974637588307,-20.209915458627687,-6062.974637588307
