Symbol,financial_score,institutional_score,market_cap,profit_growth,sales_growth,roce,debt_to_equity,Type,Buy Date,Sell Date,PnL,PnL %
CGPOWER,67.9,10.0,88461.0,19.1,25.6,37.5,0.02,UNREALIZED,Held,Active,49990.82147774208,166.6360715924736
DIVISLAB,82.3,10.0,165546.0,35.4,16.4,20.4,0.01,REALIZED,04-10-2021,24-01-2022,-6689.332848085505,-22.297776160285018
DIVISLAB,82.3,10.0,165546.0,35.4,16.4,20.4,0.01,UNREALIZED,Held,Active,3457.9233771230715,11.526411257076905
HAVELLS,61.1,10.0,89453.0,3.69,7.26,25.3,0.03,UNREALIZED,Held,Active,-2204.7409272078858,-7.349136424026286
HYUNDAI,74.7,10.0,190167.0,-3.7,-1.01,54.2,0.05,UNREALIZED,Held,Active,4109.261290000996,13.697537633336655
LTIM,71.1,10.0,187025.0,4.63,8.72,27.6,0.1,REALIZED,14-07-2023,07-04-2025,-6102.079283736821,-20.340264279122735
MAZDOCK,64.6,10.0,98707.0,-9.22,12.2,43.2,0.0,UNREALIZED,Held,Active,334039.78576893645,1113.4659525631214
NESTLEIND,63.1,10.0,253747.0,-5.73,6.25,95.7,0.1,UNREALIZED,Held,Active,-1064.3564356435631,-3.5478547854785436
SOLARINDS,64.2,10.0,116144.0,30.7,30.1,38.1,0.17,UNREALIZED,Held,Active,163127.64050697733,543.7588016899244
TORNTPHARM,80.1,10.0,135994.0,24.5,9.11,27.0,0.33,UNREALIZED,Held,Active,37317.444219066936,124.39148073022312
VBL,63.6,10.0,169235.0,16.9,11.5,24.8,0.12,UNREALIZED,Held,Active,27851.570314062814,92.8385677135427
ZYDUSLIFE,67.7,10.0,87351.0,17.6,14.0,24.3,0.38,UNREALIZED,Held,Active,25458.860759493673,84.86286919831224
